OverallRating,Comments,FeedbackCategory,Subcategory
Neutral,I am unable to figure out how to submit an order.,,
Satisfied,I would say not a huge difficulty but I had to reset my password and felt like I had to log in multiple times (2 or 3?) to complete the order. Not a huge problem but slightly annoying.,,
Very Satisfied,Always user-friendly. I did not place an order today but will very soon!,,
Satisfied,search engine could use some improvement,,
Satisfied,I was surprised by the price of the books!  Yikes!,,
Satisfied,Accidentally chose wrong school and had to start over.,,
Very Satisfied,"We love Scholastic Book Orders!  I ordered from the book orders as a child and it is so great to be able to order for my kids.  Thank you, Scholastic, for your commitment to getting books in the hands and classrooms of our children generation after generation.",,
Very Satisfied,Its amazing absoutely love it for my child,,
Neutral,Book fair is tomorrow and my son's school does not come up.  I want to get him an eWallet but your system will not allow it without a book fair to tie it to...,,
Neutral,Won't let me continue to check out!,,
Very Satisfied,Shipping is wonderful this new school year in the Fall.  Seems like the bugs are worked out.,,
Neutral,multiple sign-ins because I was not being recognized as being signed in. I tried signing in on 3 different platforms before I could be confirmed as signed in.,,
Very Satisfied,I liked the questionnaire option that helped me choose a book for my child.,,
Very Satisfied,Easy,,
Disappointed,Very slow to load sign-in pages,,
Satisfied,"so so difficulty. It would be nice if when entering the free $5 book code, it would change the $5 book already on your order into the free book, rather than requiring you to enter the free book again and deleting the $5 book on your order.",,
Very Satisfied,I am not sure how to email parents directly from scholastic,,
Very Satisfied,Smooth and easy to use,,
Satisfied,"I wish the digital flyers were just a webpage.  The flyers behave weirdly and I kept finding myself places I hadn't intended to be.  Also, they are very small and hard to read.",,
Very Satisfied,"Great for kids, love it ty",,
Neutral,im still searching for books,,
Very Disappointed,"You don't list prices! This is insane.     Why are you trying to trick your customers, Scholastic Book Club? I am really disappointed in you. Really pathetic.",,
Very Satisfied,Always  helpful,,
Satisfied,I believe I earned some free books but did not see a place to choose those books. This is the only time this has happened. I probably didn't see it.,,
Very Disappointed,Navigating the mobile site is difficult,,
Very Satisfied,Was trying to find the $1 books to give out as gifts for my students and my daughter's class.,,
Disappointed,Scholastic has not been helpful......we are stilled owed books from last school year.,,
Neutral,"I like to view the flyers because it is easier to pick out titles I might be interested in purchasing.  The site was having issues and the flyers weren't coming up to view.  It was frustrating so I gave up and will try again later.  Also, I know inflation is causing everything to go up, but it is disappointing to see the once $1 books in each grade level flyer continues to go up.  I work at a Title I school and it is nice to see books that ALL kids can afford.  I usually purchase a large number of these deal books to give away in my library each month.  Now that chapter books cost $3+ I will not be able to purchase as many to give away.  I understand Scholastic is a business, but it is a little disappointing.",,
Neutral,make it easier to post a link so friends and family can buy my child books,,
Neutral,I could not find the sheet or a sheet to send home as a parent letter with my teacher code on it. None of the paper flyers had a sales sheet attached.,,
Satisfied,it wouldn't let me sign in,,
Neutral,"We enjoy ordering books from Scholastic but the wording of this survey has me wondering if anyone actually read through this before publishing it. The three Yes/No questions explain that you should answer Yes if your answer is No and No if your answer is Yes. I was unable to complete my task, was unable to submit an order and did experience difficulties. Based on the survey instructions, I have selected the opposite answers for each question.",,
Neutral,The link sent buy my son's teacher (www.scholastic.com/parentordering) didn't work and it took me a while to figure out how to get his classroom code in to properly place the order.,,
Disappointed,I have not been able to intentionally get to a place to input the code from my flyer,,
Very Satisfied,Love the books. Love the service.,,
Very Disappointed,still can not find where the editable flier is to send home,,
Neutral,This was a great experience and so easy to use.,,
Satisfied,I'm disappointed by the quality of some of the titles and the lack of low price books.  I think the selection has decreased over the past few years.,,
Neutral,Letter to parents downloaded blank.,,
Very Satisfied,Love shopping for books for my class.  Easy website to use.,,
Satisfied,Couldn't figure out how to order the free book,,
Satisfied,"When selecting my free $10.00 credit, it would be nice if I could limit my search  with a specific dollar amount. It would save a lot of time.  Thank you for your consideration.",,
Neutral,Hard to find information. Video tutorials would be nice.,,
Very Satisfied,Na,,
Very Satisfied,Thank you!,,
Very Satisfied,I will confirm with my daughter which books my granddaughter would like this time and then come back.,,
Very Satisfied,Trying to make a payment,,
Very Satisfied,"On the mobile app, I was trying to add the ""READS"" free book, but the ""confirm and apply"" button was below the screen and I couldn't scroll far enough to be able to click it. On the computer it worked fine.",,
Satisfied,GREAT SITE ND VERY EASY TO UNDERSTAND.,,
Satisfied,The only difficulty I had was switching to my daughters account vs my son's account.,,
Very Satisfied,Love the seletion of books.  Very easy to order.,,
Very Satisfied,Very great program!,,
Satisfied,Took me awhile.  Not super user friendly.,,
Neutral,Neutral to recommend because this is for my childs preschool.,,
Very Satisfied,"I do not see my Bonus Points for Teacher Referrals:  Briana Snyder  Alex Castellanos  Also, how do get the 300 bonus points for ordering before September 30th.  Please advise.",,
Neutral,Not finding info,,
Very Satisfied,Glad to see the shipping issues of the past seem to be fixed.  I will place my next order soon!,,
Very Satisfied,Thank you.,,
Neutral,Need larger pictures to show children the available books.,,
Very Satisfied,Thank you for having Live Chat available.,,
Very Satisfied,Nice to see everything is running smooth,,
Neutral,"We LOVE scholastic, that was one of my favorite parts of teaching was ordering books. i miss the $1 books but i understand the price of inflation.",,
Satisfied,"Easy to add items to wish list and cart. Sometimes navigation is difficult (e.g., once get to checkout, it would be nice to have a back button ('back to shopping'), rather than using the browser back button or having to go back 'home' and navigate back to where I was before entering checkout).",,
Satisfied,Trying to edit my order since this teacher is no longer at Pikeside Pre-K in Martinsburg WV on Winchester avenue and it won't let me.,,
Satisfied,Just a low stock issue for one book the child wanted. I think you should take low stock out if we can't order them.,,
Satisfied,My students really like the paper flyers but we have not received any this school year.  Will they be sent in the future?,,
Neutral,"I really appreciate the opportunity to help our teachers in the classroom while also finding new books and other products for my kids, often at prices much better than through other sellers and/or available before they are available elsewhere.",,
Very Satisfied,Thank you!,,
Neutral,Well built site that is very user friendly... Thank you!!,,
Neutral,"I had trouble finding where to submit my child’s teacher & when I found it, my entire cart was deleted so I had to start over. It would be better if the scholastic site worked seamlessly with the school classroom pages.",,
Very Satisfied,I don't like the online necessity of paying sales tax on book purchases.,,
Disappointed,It will not add to my cart at all and I can't order.    I have a credit that I can't use.,,
Satisfied,I used the LIVE CHAT feature for the first time.  Amanda was VERY helpful and was able to clear up my problem very quickly.  Much appreciated.,,
Very Satisfied,Thank you,,
Neutral,Please get more classic chapter books!,,
Very Satisfied,"I have loved scholastic since I was a child, and love it even more now as an educator.",,
Very Satisfied,Website very user friendly.,,
Neutral,I have an account but do not know how to enter class code,,
Satisfied,I couldn't send the order to the other teacher.  I have two kids in the school.,,
Very Satisfied,Love your books and the prices.,,
Very Satisfied,first time ordering super easy and fast.,,
Very Satisfied,Ordered 2 Lego Ninjago Activity book.  Mrs Gugg9sbergm sent only one home.  Sending note to teacher tomorrow.  Thanks,,
Neutral,"Site was super easy to use. The books my child circled on the flyer were easy to find and access on the site and add to the cart. Payment and checkout process was also seamless. Super easy, thank you so much.",,
Neutral,I'm ordering for my granddaughter.  I WILL order again!,,
Very Satisfied,It's nice to be able to reward teachers and provide valuable reading assets to my children.,,
Satisfied,I like that the Scholastic website is easy to navigate and use. Look forward to things returning back to normal after the supply chain issues and the pandemic.,,
Very Satisfied,So wonderfully easy to do :) thank you,,
Neutral,Why is tax charged for a school order?,,
Satisfied,I think there should be a way to import emails from google so that teachers don't have to manually enter them all in!,,
Satisfied,29 years with Scholastic!  It's a great investment every year! Thank you for the selection!,,
Very Satisfied,"Site worked great! The search function under the site search was a little confusing since it only had the ""add to cart"" button there instead of going to the item to view the descrip. I get the idea of it, just wasn't prepared for it. This is so much easier than filling out those awful newsprint, tiny order forms lol",,
Very Satisfied,I couldn't find one of the books that was on my granddaughter's flyer.,,
Satisfied,I wanted the option to share my child's wish list with family.,,
Very Satisfied,Excellent service and easy to use & navigate!,,
Disappointed,"Very frustrated-   Put $80 books in a cart, only to discover that's the ""retail side"" so I can't buy them from my son's class teacher book club.  Started over - picked $30 worth of goods, entered the READS promo code for free book and got no credit or option to pick a $5 book.  Forget it.",,
Very Satisfied,Everything was fine.  Looked at some products.,,
Very Satisfied,You guys are the best ever .,,
Very Satisfied,I couldn't find teacher's name. I will wait to get her class code to submit my order as I noted that purchases help teachers get free books for the classrooms. Thanks,,
Satisfied,I feel like there should be an easier search function,,
Neutral,Searching for book in promo list,,
Satisfied,a couple books I wanted were not available as individual books and were only available as a set and we have most of the set.,,
Very Disappointed,My shipping and payment page does not display the payment method or information necessary to make a payment.   I spoke with a represenative last year and was under the impression that the page would be fixed.,,
Very Satisfied,We love scholastic books.,,
Very Satisfied,Great website. My daughter and I have a great time looking for books for her.,,
Very Satisfied,A book is out of stock.,,
Very Satisfied,The website is so much easier to navigate than before.,,
Very Satisfied,Wish there was a way to edit a letter to attach to the student flyers.      Such as fonts and size.  I can't figure that out.,,
Neutral,Search function is not great,,
Neutral,Had trouble going back to the $1.00 page : D,,
Very Satisfied,I was just giving reviews.  Love this program.,,
Neutral,n/a,,
Neutral,The site is not easy to navigate.  I feel like you have to click around a lot to find the best deals for teachers.,,
Neutral,"I find the site has not been updated in 3 years, since I was last in the classroom. It is not the most user-friendly to maneuver in between the teacher wish list and book selecting. I wish multiple books could be added at once instead of one at a time.     It would be nice to have received physical copies of flyers.",,
Satisfied,Just still looking for where to do this. :),,
Neutral,I did have difficulty finding my teacher.  I was wondering if you ship to homes instead?,,
Very Satisfied,I'm just waiting for my kids to add books to the cart before I submit my order.,,
Neutral,I was on the main website before I realized I had to click somewhere special to get to the order with my kiddo's teacher.,,
Very Satisfied,"i love scholastic, the joy of getting my books in class sparked my love of reading and im happy to pass that love on to my child!",,
Very Satisfied,user friendly,,
Very Satisfied,Thank you for always offering books at reasonable prices!,,
Neutral,Not an easy site to navigate and prices have gone up.,,
Very Satisfied,Easy peasy!,,
Very Satisfied,I'm so glad you're still in business!  I am thrilled that at least one student placed an order.  Sure wish it were more!,,
Neutral,It is still not easy to quickly find what I want and switch back and forth between items.,,
Neutral,"Your site is not easy to follow to order the books. I had to use the sheets that were sent home from the school and then search for each book using the item number. I was not impressed with the site. I would recommend the books, but I would also warn everyone about using the site.",,
